scenario,time,metric,value
Baseline,1,Bias,0.0012520227743537324
Baseline,1,Coverage Probability,0.953
Baseline,2,Bias,0.0029273559025427692
Baseline,2,Coverage Probability,0.954
Baseline,3,Bias,0.003888330599194023
Baseline,3,Coverage Probability,0.956
Baseline,4,Bias,0.003401076657076313
Baseline,4,Coverage Probability,0.945
Baseline,5,Bias,0.00214904108490771
Baseline,5,Coverage Probability,0.951
Baseline,6,Bias,-2.0703518007733623e-4
Baseline,6,Coverage Probability,0.953
Incorrect Selection Model,1,Bias,-4.095109526795551e-4
Incorrect Selection Model,1,Coverage Probability,0.954
Incorrect Selection Model,2,Bias,8.202097774406836e-4
Incorrect Selection Model,2,Coverage Probability,0.956
Incorrect Selection Model,3,Bias,5.377053101022489e-4
Incorrect Selection Model,3,Coverage Probability,0.946
Incorrect Selection Model,4,Bias,7.808137955078731e-5
Incorrect Selection Model,4,Coverage Probability,0.954
Incorrect Selection Model,5,Bias,-0.0021112354438661274
Incorrect Selection Model,5,Coverage Probability,0.952
Incorrect Selection Model,6,Bias,-0.0051500105250904815
Incorrect Selection Model,6,Coverage Probability,0.961
Incorrect Outcome Model,1,Bias,-0.003927780685624741
Incorrect Outcome Model,1,Coverage Probability,0.949
Incorrect Outcome Model,2,Bias,0.0011758968243648707
Incorrect Outcome Model,2,Coverage Probability,0.94
Incorrect Outcome Model,3,Bias,0.0059309515995232265
Incorrect Outcome Model,3,Coverage Probability,0.935
Incorrect Outcome Model,4,Bias,0.005304186692880769
Incorrect Outcome Model,4,Coverage Probability,0.935
Incorrect Outcome Model,5,Bias,0.004137480562872636
Incorrect Outcome Model,5,Coverage Probability,0.943
Incorrect Outcome Model,6,Bias,0.004238260593333626
Incorrect Outcome Model,6,Coverage Probability,0.944
Exchangeability Violation,1,Bias,-0.08529804045343782
Exchangeability Violation,1,Coverage Probability,0.77
Exchangeability Violation,2,Bias,-0.09764475418743063
Exchangeability Violation,2,Coverage Probability,0.805
Exchangeability Violation,3,Bias,-0.09962121840142128
Exchangeability Violation,3,Coverage Probability,0.785
Exchangeability Violation,4,Bias,-0.1049943185039434
Exchangeability Violation,4,Coverage Probability,0.719
Exchangeability Violation,5,Bias,-0.11632724307126957
Exchangeability Violation,5,Coverage Probability,0.6
Exchangeability Violation,6,Bias,-0.12745157179895036
Exchangeability Violation,6,Coverage Probability,0.461
Nonlinear Misspecification,1,Bias,0.054080132942994796
Nonlinear Misspecification,1,Coverage Probability,0.889
Nonlinear Misspecification,2,Bias,0.06400950375314922
Nonlinear Misspecification,2,Coverage Probability,0.909
Nonlinear Misspecification,3,Bias,0.07242030959580317
Nonlinear Misspecification,3,Coverage Probability,0.888
Nonlinear Misspecification,4,Bias,0.07160064544342293
Nonlinear Misspecification,4,Coverage Probability,0.884
Nonlinear Misspecification,5,Bias,0.06535096111039504
Nonlinear Misspecification,5,Coverage Probability,0.874
Nonlinear Misspecification,6,Bias,0.05378858905994065
Nonlinear Misspecification,6,Coverage Probability,0.894
Practical Positivity Violation,1,Bias,0.006241950559381468
Practical Positivity Violation,1,Coverage Probability,0.955955955955956
Practical Positivity Violation,2,Bias,0.014041047434434933
Practical Positivity Violation,2,Coverage Probability,0.9479479479479479
Practical Positivity Violation,3,Bias,0.019711787403376396
Practical Positivity Violation,3,Coverage Probability,0.943943943943944
Practical Positivity Violation,4,Bias,0.018322319839223916
Practical Positivity Violation,4,Coverage Probability,0.9409409409409409
Practical Positivity Violation,5,Bias,0.012907378286235255
Practical Positivity Violation,5,Coverage Probability,0.954954954954955
Practical Positivity Violation,6,Bias,0.0059176897344320745
Practical Positivity Violation,6,Coverage Probability,0.9319319319319319
Structural Positivity Violation,1,Bias,-0.03799346456285267
Structural Positivity Violation,1,Coverage Probability,0.9444444444444444
Structural Positivity Violation,2,Bias,-0.01241997750128819
Structural Positivity Violation,2,Coverage Probability,0.9814814814814815
Structural Positivity Violation,3,Bias,0.006165037507662174
Structural Positivity Violation,3,Coverage Probability,0.9814814814814815
Structural Positivity Violation,4,Bias,0.03715377805406811
Structural Positivity Violation,4,Coverage Probability,0.9444444444444444
Structural Positivity Violation,5,Bias,0.042305414713615236
Structural Positivity Violation,5,Coverage Probability,0.9814814814814815
Structural Positivity Violation,6,Bias,0.04499678121059905
Structural Positivity Violation,6,Coverage Probability,0.9629629629629629
Outcome Extrapolation,1,Bias,-0.006689947312225594
Outcome Extrapolation,1,Coverage Probability,0.946
Outcome Extrapolation,2,Bias,0.017695743860069946
Outcome Extrapolation,2,Coverage Probability,0.935
Outcome Extrapolation,3,Bias,0.023222960453865932
Outcome Extrapolation,3,Coverage Probability,0.932
Outcome Extrapolation,4,Bias,0.017103808800841294
Outcome Extrapolation,4,Coverage Probability,0.944
Outcome Extrapolation,5,Bias,0.007610427707303066
Outcome Extrapolation,5,Coverage Probability,0.954
Outcome Extrapolation,6,Bias,-3.1454635760150285e-4
Outcome Extrapolation,6,Coverage Probability,0.95
